,Datetime,Tweet Id,Text,Username
28,2020-10-30 23:25:33+00:00,1.32232E+18,Desmond Elliot is ....#Trash,princeroyalx
29,2020-10-30 23:24:03+00:00,1.32232E+18,Desmond Just Destroyed All The Precious Memories He Gave Us - Davido Reacts To Social Media Regulation Video Of Desmond Elliot https://t.co/0TMUOB1mXe,DavidGa05781843
30,2020-10-30 23:19:26+00:00,1.32232E+18,@just_oyinda This person is wicked. He Desmond Elliot as a follower to steal your work. End his ass (EndSARS),Shigzii
31,2020-10-30 23:16:57+00:00,1.32232E+18,"I hope we haven't forgotten this oga😑😑. 
Mr social media is bad. Forget wizkid or davido. Desmond idiot still makes me angry. 😡😡
#DesmondIdiot 
#desmondelliot
#desmondelliot 
#davido https://t.co/tHVgUr2Q5x",ferderricarrh
32,2020-10-30 23:12:50+00:00,1.32232E+18,@desmondelliot ... Which is more expensive... The link bridge or the signage.. This is the same narrative you were talking about on the floor of the assembly.. Just imagine you that we thought would change the narrative https://t.co/qBpehPBc2n,OMOAKIN01
33,2020-10-30 23:12:04+00:00,1.32232E+18,"Chaii e pain me for this man ,shame just dey shame me for Desmond idiot hmm sorry my keyboard error Desmond Elliot ,if they tell me say this Desmond idiot nor get sense ehh I nor go believe, chaii bro idiot sorry oo I mean Elliot,but you be international Mumu @40 sef🤦🤦 https://t.co/SKULBP4noG",Mimiluv93328315
34,2020-10-30 23:08:00+00:00,1.32231E+18,"Somebody should please warn Desmond Elliot, Bini people is not a joking sturvvsss 🤣😂🤣🤣😂🤧🤧🤧 https://t.co/zLXd0nFzxS",Johnny_Bright_
35,2020-10-30 23:07:34+00:00,1.32231E+18,"Me sef dey reason am 😏

#madeinnigeria #MadeinLagos #TeamWizkid #BBNaija #Laycon #Memes #vibes #davido #desmondelliot  #cashapp #endpolicebrutality #lekki #nydp #DjNeptuneXJoeboyXLaycon #ESSENCE #davido #StreamNobodyRemix https://t.co/aw5kiCVI3e",Kem_Sol_Ash
36,2020-10-30 23:06:55+00:00,1.32231E+18,@BillionaireOti No come Dey Desmond Elliot here ooo,xis_official
37,2020-10-30 23:06:24+00:00,1.32231E+18,"@Komrade_Konrade @SaharaReporters @Twitter @DesmondElliot_ We can never be dull &amp; moronic as so many of them are today...

Go to Bourdilon now and see how all of dem go don drop because of being high on drugs...

Dem don open our mouth and we must sor",AlujanjanKijan
38,2020-10-30 23:03:50+00:00,1.32231E+18,Another Desmond Elliot! https://t.co/6ZHL5lDTHy,Skiller_Carter
39,2020-10-30 23:03:37+00:00,1.32231E+18,@davido So it's Desmond Elliot and not Desmond idiot 😷...nawo🤦‍♂️,Romeocasspiroh
40,2020-10-30 23:03:09+00:00,1.32231E+18,Desmond Elliot dey threaten person wey get CIA connect 😂😂 Ghen will eat him raw.,JustSeyi
41,2020-10-30 23:02:30+00:00,1.32231E+18,"But make we no lie, Desmond Elliot is a colossal failure!! Once the closer end of this bridge/plank/pako/katako is eroded (very probably in the next rainy season) the whole thing becomes useless. lol.. he now even put his signboard there. https://t.co/GzIcmy6dWS",kwenguy
42,2020-10-30 23:02:00+00:00,1.32231E+18,‘Wizkid represents Surulere constituency more than Desmond Elliot’ – OAP Do2dtun https://t.co/O0bABE5nKD,petfad69
43,2020-10-30 23:01:27+00:00,1.32231E+18,@DrOlufunmilayo @DesmondElliot_  you should hide your face in shame o uncle grandpa 🤣🤣🤣 mumu,gatsegwasiPhD
44,2020-10-30 23:00:17+00:00,1.32231E+18,Shitta-Oke Odo link bridge by Desmond Elliot ... Link bridge aye https://t.co/LeVpgzNoBk,justsociety4all
45,2020-10-30 22:58:57+00:00,1.32231E+18,@CNN Desmond Elliot is still there commissioning public  toilet.,kavhitrust
46,2020-10-30 22:58:33+00:00,1.32231E+18,May God not let me use my mouth to kill my career like Desmond Elliot. Amen,Anointed_Emmy
47,2020-10-30 22:58:11+00:00,1.32231E+18,Na these set of idiots the make Desmond elliot dey talk to us anyhow https://t.co/uO5FnBUIAP,nelinel25
48,2020-10-30 22:57:55+00:00,1.32231E+18,@OfficialUdiBoy Thunder fire you Desmond Elliot,Sheymensch1
49,2020-10-30 22:57:53+00:00,1.32231E+18,Desmond Elliot is a mumu man https://t.co/Vu6LeEpKPk,El_Cee___
50,2020-10-30 22:57:40+00:00,1.32231E+18,"I heard Desmond Elliot cried. Lol. If this happened, it will be the joke of the century. Isn’t that what he does regularly?",Dumsyl
51,2020-10-30 22:56:45+00:00,1.32231E+18,@Godshols @DesmondOElliot Desmond Elliot you are funny,Otolobest1
52,2020-10-30 22:54:33+00:00,1.32231E+18,"@AlujanjanKijan @SaharaReporters @Twitter @DesmondElliot_ Our brains still process information accurately, that's one thing they've not taken from us, at least. 😂😂",Komrade_Konrade
53,2020-10-30 22:54:04+00:00,1.32231E+18,all this shalaye that Desmond Elliot is now doing Ko necessary now....... He has challenged us and challenge accepted #EndSARS #KillSocialMediaBill #SoroSokeGeneration #EndBadGoveranceInNigeria,EKolarewaju
54,2020-10-30 22:52:57+00:00,1.32231E+18,If this is how these so called law makers aka Dishonourables feel about the youth in Nigeria then what chance did the youth really have?? Please resign #desmondelliot #EndSARS #LekkiMassaccre,vibeauthentiq
55,2020-10-30 22:52:27+00:00,1.32231E+18,"@sotesco Different opinion? The only important subjects here are the lives we lost during that looking massacre and the disappointing attitude of our leaders to have hoarded common palliative. I come in peace. 
Desmond Elliot is a disappointment to his ge",raheemayodeji
56,2020-10-30 22:52:07+00:00,1.32231E+18,Desmond Elliot is a coward https://t.co/UmsKirzdBF,mitcalvinmadiba
57,2020-10-30 22:51:10+00:00,1.32231E+18,"@Komrade_Konrade @SaharaReporters Haba!

I be one of the ""shidren"" on @Twitter wey still fit read ABC na, even though all of us don dey high on drugs since morning before we land here according the Epistles of @DesmondElliot_ and mama Amuwo... 😂😂�",AlujanjanKijan
58,2020-10-30 22:51:06+00:00,1.32231E+18,@davido Desmond elliot abi desmond idiot 😔😔,Orskydo
59,2020-10-30 22:48:29+00:00,1.32231E+18,"@AuntieOyin @_TheRealDammy_ Dear @DesmondElliot_  did you really enter your car, drive down to this place to go commission/present this as a project to YOUR OWN PEOPLE?",EmemEdimo
60,2020-10-30 22:47:13+00:00,1.32231E+18,Klint told us long ago that  Desmond is an idiot but we had thought he was drunk.... #DesmondIdiot #desmondelliot #DesmondEliot #DesmondElliott #Desmond #EndSARS #EndSARS #EndBadGoveranceInNigeria,Esohjey
61,2020-10-30 22:46:09+00:00,1.32231E+18,@KemiOlunloyo Future seer tell us if Desmond Elliot will make heaven,millz15186581
62,2020-10-30 22:45:40+00:00,1.32231E+18,"@MeetOlamide One of many reasons while Desmond Elliot is against Social media. 

Lol",DuleMartins
63,2020-10-30 22:44:07+00:00,1.32231E+18,"@Abioladiva2 @MuazzamMdb @AyatutuRSCEO Desmond Elliot is actually 46, but I get your point though.",OsujiZubis
64,2020-10-30 22:43:06+00:00,1.32231E+18,@SAMKLEF They are praying for desmond elliot for him to receive sense,MHoneypot
65,2020-10-30 22:42:43+00:00,1.32231E+18,"⦁ STOP TELLINGS US YOU WANT TO CARRY US ALONG, WE WANT TO BE AT THE FRONT, AND CORRECT ALL YOUR WRONGS
PLEASE RETIRE, YOUTHS WANT TO LEAD

#MadeinLagos #EndBadGoveranceInNigeria #desmondelliot",johnsamsonegbo
66,2020-10-30 22:41:23+00:00,1.32231E+18,"@PeterPsquare I believe that Desmond Elliot is a bastard,that's why is vomiting word like imbecile@peter okay Mrp",Youngafrika3
67,2020-10-30 22:40:28+00:00,1.32231E+18,McTominay has learned a thing or two from Desmond Elliot https://t.co/lISu8ItKTI,UnrealAmas
68,2020-10-30 22:40:17+00:00,1.32231E+18,"So Hon. Desmond elliot/Hon. Mojisola  called @wizkidayo ""Children"" in the actual sense?... (A man with 2 kids)",iam_Uchyflow
69,2020-10-30 22:38:29+00:00,1.32231E+18,@SIRBOLAJI1 You need to be thrown out like Desmond elliot https://t.co/GzIZGBTPsO,Wakeelah_AO
70,2020-10-30 22:37:58+00:00,1.32231E+18,@MrMowiz Desmond Elliot just confirmed my fear about youth and power.,Amotekunobunigw
71,2020-10-30 22:37:31+00:00,1.32231E+18,"@DesmondElliot_ 
See your achievement here oo https://t.co/06rqwY8XI5",94standard
72,2020-10-30 22:36:12+00:00,1.32231E+18,So Desmond Elliot thinks its social media that is Nigeria's problem?? https://t.co/G4EXwASXs9,IGUOBARO_M_O_S
73,2020-10-30 22:34:50+00:00,1.32231E+18,@samkay_kayode @Ifeanyi44795813 @eko_daddy @KemiOlunloyo @DesmondElliot_ YES SIR.,beyondtheblurs1
74,2020-10-30 22:34:18+00:00,1.32231E+18,The idiot called Desmond Eliot is trying to make his political godfather happy #desmondelliot,EzhimD
75,2020-10-30 22:33:15+00:00,1.32231E+18,"Desmond Elliot Apologises For Calling Nigerian Youths, Children

https://t.co/RElLoQ4nUS https://t.co/lmPZHuRzPy",ExpressNews2day
76,2020-10-30 22:32:58+00:00,1.32231E+18,"Desmond Elliot Apologises For Calling Nigerian Youths, Children

https://t.co/RElLoQlZjs https://t.co/5BtIxiqjQY",ExpressNews2day
77,2020-10-30 22:32:49+00:00,1.32231E+18,"Desmond Elliot really did that ?
 
Wow 
Wow
Wow

#desmondelliot",CharbelVicky
78,2020-10-30 22:32:37+00:00,1.32231E+18,Desmond Elliot dara iberibe daran't he? https://t.co/zinFudwb1T,ikiri_ojo
79,2020-10-30 22:30:24+00:00,1.3223E+18,"Tinubu: hi

Desmond Elliot: https://t.co/r3eIxkPjzU",theBADNESSS
80,2020-10-30 22:29:57+00:00,1.3223E+18,"Desmond Elliot dara iberibe 
Daran't he?? 🙄😂 https://t.co/gl9jQWoqqe",Taielolu
81,2020-10-30 22:29:49+00:00,1.3223E+18,Halloween in Nigeria? What the Desmond Elliot is wrong with young Nigerians?,TesfayeJameson
82,2020-10-30 22:29:05+00:00,1.3223E+18,"#EndSARS Our bubu say Nigerian youth are lazy
Our palliative borrower madam say majority of youth are drug addict i hope her children is included, they are youth also
E no finish for there Desmond Elliot of all people say Nigeria youth are children a beg which insult remain",Orelovebaby
83,2020-10-30 22:27:03+00:00,1.3223E+18,"Desmond Elliot is now ojelu,the apology is late..I cap Arise news #desmondelliottruecolour",MoBosede
84,2020-10-30 22:26:02+00:00,1.3223E+18,Ahhh....Desmond Elliot oo....see tension!!!!! https://t.co/g5qGJ2aFoj,justbeckley
85,2020-10-30 22:25:44+00:00,1.3223E+18,@AishaYesufu It like Desmond Elliot have lock his Tweeter handle.,AbbeyEm15042891
86,2020-10-30 22:23:59+00:00,1.3223E+18,@instablog9ja Desmond Elliot now https://t.co/wKbahMynpV,Sixtus141
87,2020-10-30 22:23:53+00:00,1.3223E+18,"@teco_young @DesmondElliot_ If Desmond Elliot could say this to his fellow Nigerian youths, that means we're not safe in this country. Someone who is aspiring for the 2023 presidential position can't give a speech that is people-centered. I tite",Kingsle06107409
88,2020-10-30 22:23:49+00:00,1.3223E+18,My boy @desmondelliot you don dey take Colorado abi? Dem need to swear you hot slap #Desmond Idiot https://t.co/kAYETynAgS,OdidiZarki
89,2020-10-30 22:23:20+00:00,1.3223E+18,"@desmondelliot calling the Nigerian youths children. Shey you fit born one of the protesters? Wisdom is profitable to direct. You can make your point without throwing jabs or insults. 
#EndPoliceBrutalityInNigeria 
#endsars
#EndBadGoveranceInNigeria",EzugwuAlexander
90,2020-10-30 22:22:53+00:00,1.3223E+18,One of Desmond Elliot's achievement as Rep Member. See constituency project. He even put his billboard there to show his achievement. What a jerk! https://t.co/R2p0ytFIUI,onmonyageorge
91,2020-10-30 22:22:33+00:00,1.3223E+18,"Egbon @DesmondElliot_, but really wetin be this?? You dey fuck up https://t.co/sLaiSEnnvZ",Blackshadie
92,2020-10-30 22:21:33+00:00,1.3223E+18,@DrOlufunmilayo Desmond Elliot locks Twitter account to recover lost followership. Don't be fooled. https://t.co/dC2oYsPoOK,Diaspora9ja2
93,2020-10-30 22:21:09+00:00,1.3223E+18,@SavvyRinu Desmond Elliot come panel ni?,yakubrasheed
