,Datetime,Tweet Id,Text,Username
28,2022-05-11 06:02:15+00:00,1524268628912312321,@Galafi_Hamma Why is @PeterObi the target of propaganda at this time of the elections? The guy is changing the political narrative of the Nigerian politics. He is saying vote for anyone who provides solution not one who give promises as usual. This is the reason is a target!!,Stpet03
29,2022-05-11 06:02:14+00:00,1524268625657425920,"@PeterObi will always dish his facts and ask you to verify. Well this the Ezinne Anekwe, the recipient of the letter and what she said about Obi’s love for education. 
#GiveUsPeterObi https://t.co/b8hPdexH2s",mmuo_o
30,2022-05-11 06:02:03+00:00,1524268578119327745,"@Creedite_ @OfficialPDPNig Peter Obi cannot win SS how much SW, NE, NC, NW. His electoral value is restricted to the SE.",fataigiwa01
31,2022-05-11 06:01:59+00:00,1524268563212771331,"Nobody paid you to support Peter Obi, but you think somebody paid me to support Amaechi.

If you don't get out of here eh",Benn_X1
32,2022-05-11 06:01:53+00:00,1524268537900158977,"Bookmark this again: Atiku will not go into the primaries with his ROLL MODEL Peter Obi, he'll withdraw and endorse Peter Obi. https://t.co/KnAoV9vXZY",_UcheJN
33,2022-05-11 06:01:52+00:00,1524268531508035584,"@OfficialPDPNig just a reminder that out of 49,910 Nigerians, 75% wants okwute!
This is our best bet of taking back our Nigeria.
@PeterObi @OselokaHObaze https://t.co/daSvHqedS0",Iphey999
34,2022-05-11 06:01:49+00:00,1524268522125377536,"If you’re convinced that Peter Obi is the most competent man for the job &amp; has the requisite knowledge, experience &amp; political will to reposition this county for good, then wherever his supporters are saying shouldn’t be a major consideration for you.

Let’s stop disguising abeg",doromuchie
35,2022-05-11 06:01:49+00:00,1524268521831628800,@olajacs @Akinniyi52 @PeterObi What was/were his reason(s) for locking the hospital?,IamPhamous3
36,2022-05-11 06:01:39+00:00,1524268477766377472,@UchePOkoye Peter Obi,bootiliciously
37,2022-05-11 06:01:32+00:00,1524268447240179712,It’s Time Peter Obi or nobody #PeterObi4President2023 https://t.co/lRfBRBvS4A,AnonymousOba
38,2022-05-11 06:01:28+00:00,1524268433008996355,Peter Obi remains Nigeria's best bet https://t.co/Vtq9yhDrs8,1onah
39,2022-05-11 06:01:23+00:00,1524268411655761920,"@i_am_Ogee @PeterObi Suffer never tire una??!! 

Same thing they used to campaign in 2015!!",LuyiSamuel_
40,2022-05-11 06:01:14+00:00,1524268371868622849,"Might be cringe to post every second about #PeterObi4President2023 but you are doing something hooge! You're convincing someone on your TL with those videos of #PeterObi 

Keep doing it. We are about to snatch our country back!!!
#GiveUsPeterObi",LeahRazor
41,2022-05-11 06:01:11+00:00,1524268362141941761,I wonder why all other candidates campaign is about why Peter Obi 🤔 https://t.co/5yZmI1iyYv,mazichuks_
42,2022-05-11 06:01:09+00:00,1524268352029536258,"@solomonapenja Sell your candidate, leave Peter Gregory Obi's supporters to sell their candidate, we ain't threatening anyone, all we're saying is go and verify all we say he has done and beam all your searchlights on him, my candidate is the best man for the job, who is your candidate?",Nuchesdaps
43,2022-05-11 06:01:02+00:00,1524268321981575169,someone that can’t win with delegates would obviously win election? are these Peter Obi supporters alright in the head? https://t.co/O7IPSa185d,team_wurld_piss
44,2022-05-11 06:00:46+00:00,1524268256235765760,"Me: I want Chibuike Rotimi Amaechi to become the next president of Nigeria.

Werey: You are an idiot. You've collected money that's why you will reject a competent candidate like Peter Obi. 

Me: I won't vote for Peter Obi because of X,Y,Z

Werey: Don't ""de-market"" my candidate.",Benn_X1
